MUNICIPIO;CP;PROVINCIA;FRECUENCIA;TARIFA RAEE;TARIFA NO RAEE
Talav√°n;10193;Caceres ;LUNES;40,00 Ä;36,00 Ä
Monroy;10194;Caceres ;LUNES;40,00 Ä;36,00 Ä
Santa Marta de Magasca;10198;Caceres ;LUNES;40,00 Ä;36,00 Ä
Trujillo;10200;Caceres ;MARTES ;42,00 Ä;38,00 Ä
Madro√±era;10210;Caceres ;MARTES ;42,00 Ä;38,00 Ä
Herguijuela;10230;Caceres ;JUEVES;42,00 Ä;38,00 Ä
Conquista de la Sierra;10240;Caceres ;JUEVES;42,00 Ä;38,00 Ä
Garciaz;10250;Caceres ;JUEVES;42,00 Ä;38,00 Ä
Aldeacentenera;10251;Caceres ;MARTES;42,00 Ä;38,00 Ä
Torrecillas de la Tiesa;10252;Caceres ;MARTES;42,00 Ä;38,00 Ä
Santa Cruz de la Sierra;10260;Caceres ;MARTES;42,00 Ä;38,00 Ä
Puerto de Santa Cruz;10261;Caceres ;MARTES;42,00 Ä;38,00 Ä
Abertura;10262;Caceres ;MARTES;42,00 Ä;38,00 Ä
Villames√≠as;10263;Caceres ;MARTES;42,00 Ä;38,00 Ä
Robledillo de Trujillo;10269;Caceres ;MARTES;42,00 Ä;38,00 Ä
Cumbre (La);10270;Caceres ;MARTES ;42,00 Ä;38,00 Ä
Plasenzuela;10271;Caceres ;MARTES;42,00 Ä;38,00 Ä
Ruanes;10272;Caceres ;MARTES;42,00 Ä;38,00 Ä
Ibahernando;10280;Caceres ;MARTES ;42,00 Ä;38,00 Ä
Navalmoral de la Mata;10300;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Talayuela;10310;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Bohonal de Ibor;10320;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Fresnedoso de Ibor;10328;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Campillo de Deleitosa;10329;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Valdeca√±as de Tajo;10329;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Villar del Pedroso;10330;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Valdelacasa de Tajo;10332;Caceres ;JUEVES ;45,00 Ä;41,00 Ä
Garv√≠n;10333;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Peraleda de San Rom√°n;10334;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Peraleda de la Mata;10335;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Casta√±ar de Ibor;10340;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Navalvillar de Ibor;10341;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Almaraz;10350;Caceres ;MARTES - MIERCOLES;45,00 Ä;41,00 Ä
Higuera de Albalat;10359;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Romangordo;10359;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Casas de Miravete;10360;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Deleitosa;10370;Caceres ;MARTES;45,00 Ä;41,00 Ä
Robledollano;10371;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Caba√±as del Castillo;10373;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Navezuelas;10374;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Jaraicejo;10380;Caceres ;MARTES -  MIERCOLES;45,00 Ä;41,00 Ä
Saucedilla;10390;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Rosalejo;10391;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Berrocalejo;10392;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Gordo (El);10392;Caceres ;JUEVES;45,00 Ä;41,00 Ä
Valdeh√∫ncar;10393;Caceres ;JUEVES ;45,00 Ä;41,00 Ä
Belv√≠s de Monroy;10394;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Millanes;10394;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Jara√≠z de la Vera;10400;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Arroyomolinos de la Vera;10410;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Pasar√≥n de la Vera;10411;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Garganta la Olla;10412;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Torremenga;10413;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Collado;10414;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Tejeda de Ti√©tar;10420;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Cuacos de Yuste;10430;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Aldeanueva de la Vera;10440;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Jarandilla de la Vera;10450;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Guijo de Santa B√°rbara;10459;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Losar de la Vera;10460;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Villanueva de la Vera;10470;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Madrigal de la Vera;10480;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Valverde de la Vera;10490;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Talaveruela de la Vera;10491;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Viandar de la Vera;10492;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Robledillo de la Vera;10493;Caceres ;MIERCOLES;45,00 Ä;41,00 Ä
Valencia de Alc√°ntara;10500;Caceres ;LUNES;38,00 Ä;34,00 Ä
Santiago de Alc√°ntara;10510;Caceres ;LUNES;38,00 Ä;34,00 Ä
Carbajo;10511;Caceres ;LUNES;38,00 Ä;34,00 Ä
Herrera de Alc√°ntara;10512;Caceres ;LUNES;38,00 Ä;34,00 Ä
Cedillo;10513;Caceres ;LUNES;40,00 Ä;36,00 Ä
Casatejada;10520;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Toril;10521;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Serrej√≥n;10528;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Serradilla;10530;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Mirabel;10540;Caceres ;MIERCOLES;42,00 Ä;38,00 Ä
Aliseda;10550;Caceres ;LUNES;38,00 Ä;34,00 Ä
Herreruela;10560;Caceres ;LUNES;38,00 Ä;34,00 Ä
Salorino;10570;Caceres ;LUNES;38,00 Ä;34,00 Ä
