CP;POBLACION;KM_BADAJOZ;DIA_VOLUMINOSA
06108;San Jorge de Alor;;LUNES, MIÉRCOLES, VIERNES
10516;San Pedro;;LUNES
06893;San Pedro de Mérida;76;MARTES
06109;San Rafael de Olivenza;;LUNES, MIÉRCOLES, VIERNES
06500;San Vicente de Alcántara;67;LUNES
06410;Santa Amalia;94;JUEVES
10189;Santa Ana;125;MARTES
10260;Santa Cruz de la Sierra;133;MARTES
06150;Santa Marta de los Barros;45;MIÉRCOLES
10198;Santa Marta de Magasca;121;LUNES
10510;Santiago de Alcántara;104;LUNES
10191;Santiago del Campo;118;LUNES
10859;Santibáñez el Alto;193;---
10666;Santibáñez el Bajo;192;---
06108;Santo Domingo;;LUNES, MIÉRCOLES, VIERNES
06230;Santos de Maimona, Los;75;MIÉRCOLES
10390;Saucedilla;200;MARTES
06270;Segura de León;107;MIÉRCOLES
10530;Serradilla;149;LUNES
10181;Sierra de Fuentes;104;VIERNES
06650;Siruela;189;JUEVES
06209;Solana de los Barros;45;MARTES
06640;Talarrubias;170;JUEVES
10193;Talaván;124;LUNES
06140;Talavera la Real;21;LUNES, MARTES Y JUEVES
10310;Talayuela;223;POSTVENTA 601
06133;Táliga;43;MIÉRCOLES
06658;Tamurejo;200;JUEVES
10520;Toril;216;---
10617;Torno, El;197;---
06172;Torre de Miguel Sesmero;36;MIÉRCOLES
10186;Torre de Santa María;108;MARTES
06410;Torre Fresneda;;JUEVES
10252;Torrecillas de la Tiesa;167;MARTES
10694;Torrejón el Rubio;146;LUNES
10830;Torrejoncillo;149;LUNES
06880;Torremayor;45;MARTES
06210;Torremejía;70;MARTES
10184;Torremocha;118;VIERNES
10182;Torreorgaz;109;VIERNES
10183;Torrequemada;112;VIERNES
06509;Torre, La;;LUNES
06717;Torviscal, El;;JUEVES
06909;Trasierra;124;MIÉRCOLES
06892;Trujillanos;67;MARTES
10200;Trujillo;147;MARTES
10697;Urdimalas;;LUNES
06290;Usagre;100;MIÉRCOLES
06194;Valdebotoa;;LUNES, JUEVES, VIERNES
06689;Valdecaballeros;189;JUEVES
10839;Valdecin;;LUNES
10180;Valdefuentes;111;MARTES
06410;Valdehornillo;;JUEVES
10393;Valdehúncar;215;MARTES
06185;Valdelacalzada;33;MARTES Y JUEVES
10131;Valdemorales;122;MARTES
10672;Valdeobispo;180;LUNES
10164;Valdesalor;;VIERNES
06474;Valdetorres;101;MARTES
06720;Valdivia;;JUEVES
10500;Valencia de Alcántara;79;LUNES
06444;Valencia de las Torres;110;MIÉRCOLES
06134;Valencia del Mombuey;81;MIÉRCOLES
06330;Valencia del Ventoso;97;MIÉRCOLES
06458;Valle de la Serena;121;JUEVES
06177;Valle de Matamoros;64;MIÉRCOLES
06178;Valle de Santa Ana;69;MIÉRCOLES
10811;Valrio (Rincón del Obispo);;LUNES
06389;Valuengo;;MIÉRCOLES
06378;Valverde de Burguillos;88;MIÉRCOLES
06130;Valverde de Leganés;25;LUNES, MIÉRCOLES, VIERNES
06927;Valverde de Llerena;137;MIÉRCOLES
06890;Valverde de Mérida;71;MARTES
06731;Vegas Altas;;JUEVES
06044;Vila Viçcosa (Portugal);;VIERNES
10960;Villa del Rey;104;LUNES
06107;Villa Real;;LUNES, MIÉRCOLES, VIERNES
06220;Villafranca de los Barros;75;MARTES
06195;Villafranco del Guadiana;;LUNES, MARTES Y JUEVES
06950;Villagarcía de la Torre;108;MIÉRCOLES
06473;Villagonzalo;79;MARTES
06208;Villalba de los Barros;58;MARTES
10263;Villamesías;121;JUEVES
06700;Villanueva de la Serena;114;JUEVES
06110;Villanueva del Fresno;65;MIÉRCOLES
06716;Villar de Rena;115;JUEVES
06192;Villar del Rey;31;LUNES
10695;Villareal de San Carlos;;LUNES
06678;Villarta de los Montes;225;JUEVES
06412;Vivares;;JUEVES
06411;Yelbes;;JUEVES
06300;Zafra;76;MIÉRCOLES
06129;Zahínos;72;MIÉRCOLES
06430;Zalamea de la Serena;149;JUEVES
06611;Zarza Capilla;196;JUEVES
06830;Zarza de Alange;;MARTES
10189;Zarza de Montánchez;118;MARTES
10130;Zorita;135;JUEVES
06712;Zurbaran;;JUEVES
