CP;POBLACION;DIA_VOLUMINOSA
06229;Puebla del Prior;MARTES
06184;Pueblonuevo del Guadiana;MARTES, JUEVES
10829;Puerto de los Castaños;LUNES
10261;Puerto de Santa Cruz;MARTES
00000;PAGO SAN CLEMENTE;MARTES
06450;Quintana de la Serena;JUEVES
06392;Raposo, El;MIÉRCOLES
06970;Reina;MIÉRCOLES
06715;Rena;JUEVES
06196;Retamal;MARTES
06442;Retamal de Llerena;MIÉRCOLES
10372;Retamosa;MARTES
06225;Ribera del Fresno;MARTES
10199;Rincón de Ballesteros;MARTES
10811;Rincón del Obispo;LUNES
10690;Rincón, El;LUNES
10693;Riolobos;LUNES
06170;Risca, La;
06657;Risco;JUEVES
10269;Robledillo de Trujillo;MARTES
10371;Robledollano;MARTES
06190;Roca de la Sierra, La;LUNES Y VIERNES
06509;Rocita de Mayorga, La;LUNES
10189;Ruanes;MARTES
06929;Rubios, Los;MIÉRCOLES
06412;Ruecas;JUEVES
06181;Sagrajas;LUNES, MARTES Y JUEVES
10570;Salorino;LUNES
06174;Salvaleón;MIÉRCOLES
06175;Salvatierra de los Barros;MIÉRCOLES
10189;Salvatierra de Santiago;MARTES
06106;San Benito de la Contienda;LUNES, MIÉRCOLES, VIERNES
06109;San Francisco de Olivenza;LUNES, MIÉRCOLES, VIERNES
10690;San Gil;LUNES
06108;San Jorge de Alor;LUNES, MIÉRCOLES, VIERNES
10516;San Pedro;LUNES
06893;San Pedro de Mérida;MARTES
06109;San Rafael de Olivenza;LUNES, MIÉRCOLES, VIERNES
06500;San Vicente de Alcántara;LUNES
06410;Santa Amalia;JUEVES
10189;Santa Ana;MARTES
10260;Santa Cruz de la Sierra;MARTES
06150;Santa Marta de los Barros;MIÉRCOLES
10198;Santa Marta de Magasca;LUNES
10510;Santiago de Alcántara;LUNES
10191;Santiago del Campo;LUNES
10859;Santibáñez el Alto;---
10666;Santibáñez el Bajo;---
06108;Santo Domingo;LUNES, MIÉRCOLES, VIERNES
06230;Santos de Maimona, Los;MIÉRCOLES
10390;Saucedilla;MARTES
06270;Segura de León;MIÉRCOLES
10530;Serradilla;LUNES
10181;Sierra de Fuentes;VIERNES
06650;Siruela;JUEVES
06209;Solana de los Barros;MARTES
06640;Talarrubias;JUEVES
10193;Talaván;LUNES
06140;Talavera la Real;LUNES, MARTES Y JUEVES
10310;Talayuela;POSTVENTA 601
06133;Táliga;MIÉRCOLES
06658;Tamurejo;JUEVES
10520;Toril;---
10617;Torno, El;---
06172;Torre de Miguel Sesmero;MIÉRCOLES
10186;Torre de Santa María;MARTES
06410;Torre Fresneda;JUEVES
10252;Torrecillas de la Tiesa;MARTES
10694;Torrejón el Rubio;LUNES
10830;Torrejoncillo;LUNES
06880;Torremayor;MARTES
06210;Torremejía;MARTES
10184;Torremocha;VIERNES
10182;Torreorgaz;VIERNES
10183;Torrequemada;VIERNES
06509;Torre, La;LUNES
06717;Torviscal, El;JUEVES
06909;Trasierra;MIÉRCOLES
06892;Trujillanos;MARTES
10200;Trujillo;MARTES
10697;Urdimalas;LUNES
06290;Usagre;MIÉRCOLES
06194;Valdebotoa;LUNES, JUEVES, VIERNES
06689;Valdecaballeros;JUEVES
10839;Valdecin;LUNES
10180;Valdefuentes;MARTES
06410;Valdehornillo;JUEVES
10393;Valdehúncar;MARTES
06185;Valdelacalzada;MARTES Y JUEVES
10131;Valdemorales;MARTES
10672;Valdeobispo;LUNES
10164;Valdesalor;VIERNES
06474;Valdetorres;MARTES
06720;Valdivia;JUEVES
10500;Valencia de Alcántara;LUNES
06444;Valencia de las Torres;MIÉRCOLES
06134;Valencia del Mombuey;MIÉRCOLES
06330;Valencia del Ventoso;MIÉRCOLES
06458;Valle de la Serena;JUEVES
06177;Valle de Matamoros;MIÉRCOLES
06178;Valle de Santa Ana;MIÉRCOLES
10811;Valrio (Rincón del Obispo);LUNES
06389;Valuengo;MIÉRCOLES
06378;Valverde de Burguillos;MIÉRCOLES
06130;Valverde de Leganés;LUNES, MIÉRCOLES, VIERNES
06927;Valverde de Llerena;MIÉRCOLES
06890;Valverde de Mérida;MARTES
06731;Vegas Altas;JUEVES
06044;Vila Viçcosa (Portugal);VIERNES
10960;Villa del Rey;LUNES
06107;Villa Real;LUNES, MIÉRCOLES, VIERNES
06220;Villafranca de los Barros;MARTES
06195;Villafranco del Guadiana;LUNES, MARTES Y JUEVES
06950;Villagarcía de la Torre;MIÉRCOLES
06473;Villagonzalo;MARTES
06208;Villalba de los Barros;MARTES
10263;Villamesías;JUEVES
06700;Villanueva de la Serena;JUEVES
06110;Villanueva del Fresno;MIÉRCOLES
06716;Villar de Rena;JUEVES
06192;Villar del Rey;LUNES
10695;Villareal de San Carlos;LUNES
06678;Villarta de los Montes;JUEVES
06412;Vivares;JUEVES
06411;Yelbes;JUEVES
06300;Zafra;MIÉRCOLES
06129;Zahínos;MIÉRCOLES
06430;Zalamea de la Serena;JUEVES
06611;Zarza Capilla;JUEVES
06830;Zarza de Alange;MARTES
10189;Zarza de Montánchez;MARTES
10130;Zorita;JUEVES
06712;Zurbaran;JUEVES
