CP;Municipio;Provincia
10859;Santibáñez el Alto;Cáceres
10860;Gata;Cáceres
10864;Torre de Don Miguel;Cáceres
10865;Cadalso;Cáceres
10866;Descargamaría;Cáceres
10867;Robledillo de Gata;Cáceres
10868;Hernán-Pérez;Cáceres
10869;Torrecilla de los Ángeles;Cáceres
10870;Ceclavín;Cáceres
10879;Acehúche;Cáceres
10880;Zarza la Mayor;Cáceres
10881;Cachorrilla;Cáceres
10882;Pescueza;Cáceres
10883;Portaje;Cáceres
10890;Valverde del Fresno;Cáceres
10891;Eljas;Cáceres
10892;Trevejo;Cáceres
10893;Villamiel;Cáceres
10894;Trevejo;Cáceres
10895;Cilleros;Cáceres
10896;Perales del Puerto;Cáceres
10910;Malpartida de Cáceres;Cáceres
10940;Garrovillas de Alconétar;Cáceres
10960;Villa del Rey;Cáceres
10970;Alcántara;Cáceres
10980;Alcántara;Cáceres
10990;Alcántara;Cáceres
10991;Piedras Albas;Cáceres
